,Band gap values Clean
0,3.4850000000000003
1,4.19
2,3.9
3,0.85
4,1.2
5,0.95
6,0.13
7,0.064
8,2.5
9,0.82
10,0.4
11,5.74
12,2.45
13,1.919
14,9.7
15,4.1
16,3.1
17,2.5
18,1.2
19,2.6
20,2.29
21,1.215
22,0.74
23,4.0
24,2.43
25,2.48
26,1.77
27,0.48
28,2.4
29,0.93
30,1.46
31,8.0
32,2.0
33,2.6
34,7.0
35,9.06
36,5.13
37,3.88
38,3.6
39,3.4
40,10.48
41,4.17
42,3.61
43,2.89
44,0.67
45,0.015
46,2.66
47,1.9625
48,2.755
49,1.2
50,0.21
51,0.145
52,6.244999999999999
53,3.7
54,2.26
55,4.5
56,10.0
57,5.98
58,7.7
59,6.0
60,4.87
61,4.07
62,0.46
63,1.9
64,0.9
65,1.0
66,4.47
67,5.7
68,6.0
69,3.5615
70,0.6
71,1.75
72,1.785
73,1.0
74,2.4175
75,0.45
76,1.714
77,1.517
78,0.13
79,0.2
80,0.52
81,1.25
82,4.85
83,0.7
84,2.68
85,1.12
86,1.75
87,1.4
88,0.15
89,0.25
90,0.47
91,0.045
92,0.2
93,0.23
94,0.2
95,0.35
96,1.68
97,0.9
98,0.025
99,0.015
100,0.02
101,0.55
102,7.18
103,8.1
104,10.0
105,6.37
106,3.5
107,0.6
108,0.55
109,1.6
110,2.987
111,3.306
112,3.07
113,4.17
114,1.4
115,2.023
116,1.21
117,1.23
118,1.08
119,1.0
120,3.3
121,2.6
122,3.08
123,2.91
124,3.5
125,2.4
126,1.07
127,0.9
128,3.26
129,1.66
130,0.9
131,0.9
132,1.25
133,1.122
134,1.645
135,1.78
136,1.959
137,1.7
138,0.6
139,0.6
140,1.2
141,0.163
142,0.2
143,5.15
144,0.4
145,1.2
146,0.17
147,0.77
148,0.1
149,0.9
150,0.46
151,2.34
152,0.6
153,1.42
154,0.1
155,3.24
156,2.5
157,2.5
158,0.725
159,2.05
160,1.42
161,4.54
162,3.59
163,2.05
164,1.225
165,0.63
166,3.6
167,1.54
168,1.3
169,1.36
170,0.335
171,1.05
172,1.225
173,1.5
174,5.56
175,1.58
176,3.54
177,1.315
178,2.4325
179,0.8
180,0.84
181,0.3
182,5.55
183,2.43
184,2.8
185,1.665
186,3.59
187,2.13
188,2.48
189,1.269
190,0.24
191,0.175
192,2.6
193,3.5
194,1.79
195,2.84
196,1.3
197,0.356
198,2.4
199,1.351
200,1.86
201,0.17
202,1.24
203,3.1845
204,1.565
205,0.739
206,1.2
207,0.98
208,0.9
209,0.9
210,1.0
211,7.6
212,8.5
213,10.6
214,6.17
215,2.1
216,1.8
217,1.9
218,1.4
219,0.08
220,6.6
221,0.8
222,1.05
223,1.32
224,1.97
225,0.1
226,0.43
227,7.95
228,9.33
229,13.105
230,6.0
231,0.7
232,1.0
233,3.94
234,11.8
235,7.77
236,5.6
237,4.7
238,1.086
239,0.0409999999999999
240,1.435
241,0.1575
242,2.55
243,0.1
244,1.4
245,0.82
246,0.58
247,10.05
248,4.04
249,3.7
250,0.26
251,6.2
252,1.8
253,0.2
254,1.25
255,0.48
256,0.6
257,3.3083333333333336
258,1.0699999999999998
259,0.83
260,7.5
261,8.97
262,10.5
263,5.89
264,2.4
265,2.0
266,2.3
267,1.1
268,0.25
269,1.4
270,3.48
271,0.12
272,1.04
273,4.9
274,6.15
275,0.3
276,0.97
277,3.0
278,1.7
279,1.12
280,0.29
281,0.38
282,0.05
283,3.7
284,0.5
285,0.12
286,0.5
287,0.23
288,0.9
289,1.2
290,2.0
291,0.2
292,0.3
293,0.965
294,0.23
295,3.2
296,3.82
297,2.32
298,3.02
299,2.512
300,1.85
301,0.41
302,0.27
303,0.31
304,1.67
305,2.12
306,1.5
307,0.65
308,0.5
309,0.75
310,0.2
311,0.4
312,1.8
313,1.0
314,4.9
315,5.9
316,0.66
317,0.66
318,1.154
319,0.84
320,1.8
321,1.3
322,0.55
323,0.2
324,0.8
325,0.8
326,0.75
327,0.11
328,0.1
329,7.2
330,8.29
331,10.4
332,5.83
333,4.5
334,1.0
335,2.3
336,1.1
337,0.99
338,0.12
339,1.5
340,0.6
341,0.7
342,0.8
343,0.8
344,1.0
345,1.8
346,0.3
347,1.0
348,0.25
349,3.82
350,0.1
351,0.009
352,2.22
353,1.9
354,3.31
355,1.7
356,1.2
357,0.3
358,2.6
359,6.0
360,2.0
361,1.7266666666666666
362,0.64
363,1.87
364,1.9
365,1.12
366,1.45
367,2.53
368,11.0
369,1.89
370,1.72
371,0.59
372,2.015
373,1.98
374,5.0
375,1.03
376,4.9
377,1.09
378,0.22
379,0.59
380,0.46
381,0.62
382,1.17
383,3.0
384,2.3
385,0.075
386,3.4
387,3.9
388,2.4
389,2.38
390,3.5
391,1.08
392,2.475
393,1.055
394,1.5
395,0.18
396,5.77
397,4.76
398,4.42
399,3.73
400,0.1
401,4.6
402,2.3
403,0.5
404,0.95
405,0.4
406,0.332
407,1.1
408,3.0
409,4.625
410,0.3
411,3.15
412,1.24
413,0.9
414,0.69
415,1.0
416,0.04
417,0.3
418,3.05
419,3.56
420,2.67
421,3.58
422,1.36
423,0.73
424,1.825
425,0.5
426,0.7
427,1.18
428,2.18
429,1.5
430,0.3
431,0.65
432,0.1
433,0.66
434,2.34
435,0.8
436,0.15
437,2.8
438,1.1
439,1.35
440,0.05
441,1.9
442,5.6
443,1.02
444,1.0
445,2.99
446,0.33
447,0.9
448,4.53
449,3.35
450,1.9275
451,3.87
452,0.745
453,2.67
454,2.25
455,0.93
456,1.15
457,0.22
458,1.2
459,4.99
460,2.215
461,2.17
462,2.0
463,1.25
464,0.2
465,0.18
466,0.6
